February,,,,March,,,,April,,,,May,,,,June,,,,July,,,,August,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income:,,Expenses:,,Income:,,Expenses:,,Income:,,Expenses:,,Income:,,Expenses:,,Income:,,Expenses:,,Income:,,Expenses:,,Income:,,Expenses:,
Work,5026.75,Rent,1850,Work,5616.65,Rent,1829.58,Work,5697.65,Rent,1845,Work,5468.95,Rent,1845,Work,5407.89,Rent,1845,Work,5471.43,Rent,1845,Work,5425.07,Rent,1891.12
Other,,Internet,67.8,Other,315,Internet,67.8,Other,5114.17,Internet,67.8,Other,0,Internet,67.8,Other,150,Internet,67.8,Other,435.97,Internet,73.45,Other,170,Internet,73.45
,,Insurance,111.35,,,Insurance,111.35,,,Insurance,221.44,,,Insurance,222.54,,,Insurance,222.58,,,Insurance,222.58,,,Insurance,222.58
,,Phone,,,,Phone,,,,Phone,50.85,,,Phone,115.26,,,Phone,115.26,,,Phone,67.8,,,Phone,83.62
,,Student Loans,,,,Student Loans,,,,Student Loans,,,,Student Loans,130,,,Student Loans,130,,,Student Loans,130,,,Student Loans,130
,,Parking,,,,Parking,,,,Parking,,,,Parking,120.39,,,Parking,134,,,Parking,47.75,,,Parking,15
,,Groceries,,,,Groceries,,,,Groceries,72.72,,,Groceries,653.27,,,Groceries,601,,,Groceries,675.39,,,Groceries,618.05
,,Gas,,,,Gas,,,,Gas,64.56,,,Gas,331.44,,,Gas,193.71,,,Gas,262.48,,,Gas,594.59
,,Wax,,,,Wax,,,,Wax,,,,Wax,74.58,,,Wax,74.58,,,Wax,81.36,,,Wax,81.34
,,Tithe,,,,Tithe,,,,Tithe,,,,Tithe,500,,,Tithe,500,,,Tithe,500,,,Tithe,500
,,Personal,,,,Personal,,,,Personal,101.7,,,Personal,621.09,,,Personal,1448.8,,,Personal,1646.92,,,Personal,277
,,Restaurants,,,,Restaurants,,,,Restaurants,47.41,,,Restaurants,389.11,,,Restaurants,387.9,,,Restaurants,269.71,,,Restaurants,743.43
,,Other,,,,Other,348.88,,,Other,369.47,,,Other,1150.75,,,Other,582.28,,,Other,588.32,,,Other,394.09
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total:,5026.75,,2029.15,Total:,5931.65,,2357.61,Total:,10811.82,,2840.95,Total:,5468.95,,6221.48,Total:,5557.89,,6302.91,Total:,5907.4,,6410.76,Total:,5595.07,,5624.27
Difference:,2997.6,,,Difference,3574.04,,,Difference:,7970.87,,,Difference:,-752.53,,,Difference:,-745.02,,,Difference:,,,-503.36,Difference:,,,-29.2
